parameters,count,mean,std,min,25%,50%,75%,max
theta.143,4000.0,-2.0765711936087357,0.4326978517079404,-3.7223757883365494,-2.3584184539314563,-2.0649150531552367,-1.786920677717816,-0.386730399936118
theta.144,4000.0,-0.8674517993617626,0.4393973695474776,-2.4792603650846186,-1.1657144088055396,-0.8658339628942238,-0.5767276178547753,0.6999661520862851
theta.145,4000.0,-0.9866679357975783,0.42168073118432065,-2.450441808102578,-1.2740214096944276,-0.9953859886051536,-0.7092613563365827,0.6741463973077628
theta.146,4000.0,-0.184079119036132,0.4235684257133988,-1.688691022446356,-0.4717128678180956,-0.18753314914222308,0.09739973157551626,1.3567885837367906
theta.147,4000.0,1.2000286483377889,0.4947402939336311,-0.5034615315228571,0.8668816984036394,1.2018087200779841,1.529935764867371,3.1495359407793395
theta.148,4000.0,0.18931032162591432,0.4677721990692113,-1.3687588248974727,-0.14167796950840675,0.19432183563076721,0.5164820907368453,2.0968662399462983
theta.149,4000.0,-1.2768651582317536,0.4173758314664901,-2.7295422048962803,-1.5600759358603942,-1.282854213439857,-0.9954117382388793,0.35839579673448096
theta.150,4000.0,-0.8274693021930876,0.4210623560652627,-2.2858262119239643,-1.1170600316203692,-0.8331994922050241,-0.5524014655772702,0.8677305413277475
theta.151,4000.0,-0.29700745201422024,0.4561046564926636,-2.0018215788176517,-0.6128594567507479,-0.30781835669220625,0.012864700214607172,1.4217292240129207
theta.152,4000.0,0.4450922324724707,0.4477778875346518,-1.0464577992049722,0.1481106390393085,0.43766072343026036,0.7383336153244912,2.1350097635969045
theta.153,4000.0,0.6022638416911955,0.4783020799203492,-1.1724909958131167,0.28542562319005765,0.5935287948256333,0.9031421946141476,2.6023452029539915
theta.154,4000.0,-0.2901884537161883,0.40709903733843594,-1.5125956301826933,-0.5659730709231523,-0.29058686535087636,-0.020664814833845236,1.1946204373590799
theta.155,4000.0,-0.6756719235046398,0.42979574686362176,-2.1800934247317953,-0.9615205138900476,-0.6792355661323795,-0.38056756186108814,0.8354968605934056
theta.156,4000.0,-0.7254227747064308,0.4268517263425136,-2.2517960275398976,-1.0130118219580928,-0.7313845073043977,-0.43752526171096234,0.7847817752781076
theta.157,4000.0,1.3255053414104874,0.4913419161384003,-0.4128766315872666,0.9955117301356919,1.3206634410076783,1.6511615263054444,2.972992501052507
theta.158,4000.0,-0.23272121158830156,0.43589826889450956,-1.8059149836191462,-0.5287503735306772,-0.23687395768029929,0.061647761903154616,1.1877667107922896
theta.159,4000.0,-0.8981520008201973,0.4193880016814156,-2.380873546255009,-1.1807047901619885,-0.9015403147618749,-0.6188190727310084,0.5872067991599047
theta.160,4000.0,1.1040997351644741,0.4767075452605642,-0.41145160337057995,0.7834248630185701,1.1015550603878257,1.4248022681207384,2.631824334186116
theta.161,4000.0,0.9064573077610636,0.47767677277576814,-0.7794571312171351,0.586784672232324,0.8928200556958399,1.2195788083278325,2.789280812251332
theta.162,4000.0,-0.469753051821868,0.41576086071413276,-1.8760500813817613,-0.7541423774464988,-0.47415355196984954,-0.185952465905173,1.0420293945659522
theta.163,4000.0,1.3728947413421326,0.49568175926586305,-0.4247975520642573,1.0369822512861657,1.3583069046566774,1.710150098232288,3.0048467260651757
theta.164,4000.0,1.22700273967118,0.4803957900762477,-0.5866693345721481,0.9067296270320646,1.2198285993107536,1.5458133044566305,3.0336660554532884
theta.165,4000.0,-0.9023408254716612,0.46534041806274423,-2.2802000552143347,-1.2261299520331455,-0.9164405271575979,-0.5954698095377885,0.8203659258094775
theta.166,4000.0,1.681364333619134,0.5052067745748209,0.08770919993700854,1.3341235500912014,1.6802642824298972,2.032085315920709,3.5325979350481833
theta.167,4000.0,-0.24776302668013336,0.44976768658778077,-1.7399308681488121,-0.5612257417557147,-0.2581367675988675,0.06472887233588742,1.4622117304451334
theta.168,4000.0,-1.9851349357853487,0.43995838807247345,-3.582205298904964,-2.279430070787466,-1.9799910677623136,-1.684666286078381,-0.5529165660549459
theta.169,4000.0,-0.01953295997675568,0.43893279193108936,-1.3965419985747671,-0.32603999989088694,-0.020027677177488937,0.28186586648850925,1.3876339807974851
theta.170,4000.0,-0.24912598752055087,0.4455512270904125,-2.222484620307166,-0.5529687843353671,-0.254592627103554,0.04661619034090472,1.518008995535322
theta.171,4000.0,1.6848828597451544,0.5029318848463968,-0.2914861714695365,1.3485254354535743,1.679364604922414,2.0311932372286448,3.3952691164570186
theta.172,4000.0,0.050035957526157276,0.4276255428159499,-1.338404051701631,-0.23916308475089093,0.041600474870771925,0.33415068387952895,1.6690288197946965
theta.173,4000.0,0.5740911942053808,0.4890646893208394,-0.9949060091934173,0.2521685194855917,0.565171671004353,0.8958081679023946,2.281350452484272
theta.174,4000.0,0.05521423425863876,0.46145643148337206,-1.4446434538481867,-0.25439334109667183,0.05846689234572042,0.3496949059837398,1.8690856509614817
theta.175,4000.0,-0.4390599424785805,0.4134313826704257,-1.9657134378859313,-0.7204565647108333,-0.44123465619353586,-0.16366403870871193,1.4041610580578225
theta.176,4000.0,-0.731507880912389,0.4599808449342537,-2.912005859427481,-1.0421338697912703,-0.7296606131202467,-0.42821192109892947,1.2224305669908695
theta.177,4000.0,0.48599080265441047,0.4724323831361789,-1.2268674565852493,0.1703743875649043,0.48130539471742373,0.8104578281202157,2.1660784410348817
theta.178,4000.0,1.7110414349760243,0.5206891087253852,-0.31546471099515017,1.3556223405817538,1.7052164968233838,2.0712716300788574,3.483923512069202
theta.179,4000.0,1.262503138613112,0.4783071284544608,-0.5831591492266109,0.9391293291592672,1.2580043276742638,1.5822398849525237,3.3212322873645426
theta.180,4000.0,1.1343014813074297,0.4820713752365288,-0.9120110146383935,0.7990277679778133,1.1297107142080347,1.457120542514844,2.825844517142154
theta.181,4000.0,-1.8999333251688615,0.4269934193339389,-3.4679093686359472,-2.1820735709808967,-1.898779481482566,-1.617874535602437,-0.6058535462192227
theta.182,4000.0,1.2243875531068507,0.5181833028232196,-0.9524571858522421,0.8745511584531106,1.2130271291018841,1.570062743795245,3.5472053803579766
theta.183,4000.0,0.22285217802090204,0.4273156300166615,-1.162360227915931,-0.06567699566751764,0.22689844333034054,0.5004757956432014,1.6440784179635302
theta.184,4000.0,-1.3236629296243032,0.4455092484116065,-2.8678989735397207,-1.6233173450895737,-1.3375607298839123,-1.0269194072109293,0.22020288111940417
